limit,gender,education,marriage,age,behind1,behind2,behind3,behind4,behind5,behind6,billed1,billed2,billed3,billed4,billed5,billed6,paid1,paid2,paid3,paid4,paid5,paid6,default
1785.87,2,2,1,44,0,0,0,0,0,0,1627.93,1496.78,1275.22,798.64,845.04,979.41,107.72,178.69,107.15,107.15,178.59,33.0,0
5714.8,2,3,1,46,0,0,0,0,0,0,889.51,83.51,173.44,147.41,142.69,30.07,83.69,173.44,35.72,142.69,30.07,939.83,0
3571.75,2,2,1,47,0,0,0,0,0,0,238.09,238.09,0.0,223.95,-14.14,-14.14,238.09,0.0,223.95,0.0,0.0,0.0,1
6071.97,2,2,1,29,0,0,0,0,0,0,2824.93,2235.02,2261.52,2282.45,1553.89,1571.39,79.83,89.04,92.33,60.11,67.9,75.4,0
5357.62,2,1,2,33,0,0,0,0,0,0,871.26,958.91,1168.03,1195.07,992.95,80.76,964.62,1168.5,1195.64,993.23,80.76,6052.86,0
1785.87,1,3,2,37,0,0,0,0,0,0,723.21,1814.34,1905.17,1630.9,720.78,755.6,1626.4,125.01,50.86,71.43,46.43,26.93,0
714.35,2,2,1,22,0,0,0,0,0,0,702.46,713.42,196.12,29.68,717.49,704.81,53.58,35.72,29.68,732.21,35.72,39.29,1
1071.52,2,2,1,32,1,3,2,0,0,2,993.2,967.16,941.62,977.91,1034.13,1012.73,0.0,0.0,62.79,83.29,0.0,50.0,1
5714.8,2,1,2,27,0,0,0,0,0,0,10.29,16.11,59.47,11.79,5.89,28.36,16.11,60.01,11.79,0.0,28.36,83.9,0
7500.67,1,1,1,30,0,0,0,0,0,2,2343.07,2264.35,2291.28,2362.18,2504.44,2402.14,82.15,107.15,107.15,178.59,0.0,107.15,0
7143.49,2,1,2,31,0,0,0,0,0,0,256.59,530.23,39.18,0.0,0.0,5.71,625.31,39.36,0.0,0.0,5.71,39.4,0
3571.75,2,2,2,44,2,2,2,2,2,2,3763.66,3821.81,3869.99,3838.09,3771.69,3777.16,203.59,192.87,132.15,142.87,128.58,160.73,1
15715.69,1,2,1,49,0,0,0,0,0,0,33.65,71.51,105.08,105.3,0.0,33.65,71.51,105.08,105.3,0.0,33.65,35.72,0
1785.87,2,2,2,25,0,0,0,0,0,0,1102.13,1017.27,987.02,953.34,940.41,925.9,64.29,50.0,32.68,53.58,53.58,71.43,0
17858.74,1,1,1,61,0,0,0,0,0,0,408.25,1036.34,905.94,698.28,753.5,839.04,1043.13,908.22,341.99,397.04,538.01,7.75,0
1071.52,2,1,2,27,0,0,0,0,0,0,280.13,95.37,95.37,95.37,367.96,558.73,95.37,95.37,95.37,367.96,558.73,355.28,0
1785.87,2,2,1,53,0,0,0,0,0,0,1018.27,1044.02,1084.24,1119.46,1165.96,1168.64,53.58,57.15,53.5,93.83,50.0,42.86,0
5000.45,1,3,2,23,0,0,0,0,0,0,13.93,13.93,13.93,51.22,46.75,19.29,13.93,13.93,51.22,46.75,19.29,19.29,0
1785.87,2,2,1,23,0,0,0,0,0,0,516.65,1742.87,1793.23,1815.55,1526.24,1543.85,1796.41,89.29,72.54,45.5,53.58,57.15,0
357.17,2,2,2,23,0,0,0,0,0,2,192.98,230.81,267.13,303.21,321.71,329.57,46.43,45.43,45.79,28.57,17.86,0.0,0
4643.27,2,2,2,25,1,2,0,0,0,0,1863.74,1781.37,1857.31,1914.1,1950.39,1822.77,0.0,178.59,142.87,107.15,125.01,464.33,0
5357.62,1,2,1,31,0,0,0,0,0,0,5243.5,5296.65,5223.5,5057.34,4776.18,4947.73,189.3,250.02,235.74,167.87,482.19,0.0,0
12858.29,1,1,2,29,0,0,0,0,0,0,81.19,41.79,0.0,0.0,284.74,295.56,41.97,0.0,0.0,284.74,15.54,105.26,0
4643.27,2,1,2,29,0,0,3,3,2,0,3795.73,4276.38,4326.81,4206.34,4130.37,4145.44,539.58,178.59,0.0,0.0,150.01,178.59,0
1785.87,2,2,2,22,2,2,2,2,2,2,535.98,517.01,579.59,595.12,580.52,642.27,0.0,71.43,35.72,0.0,71.43,0.0,1
10715.24,2,2,2,27,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2857.4,2,1,2,44,0,0,2,2,3,2,1486.92,1746.33,1708.4,2035.9,1981.93,2051.97,285.74,0.0,357.17,0.0,107.15,89.29,1
