ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
2309,30000,1,2,2,25,0,0,0,0,0,0,8864,10062,11581,12580,13716,14828,1500,2000,1500,1500,1500,2000,0
22405,150000,2,1,2,26,0,0,0,0,0,0,136736,125651,116684,101581,77741,77264,4486,4235,3161,2647,2669,2669,0
23398,70000,2,3,1,32,0,0,0,0,0,0,70122,69080,68530,69753,70111,70212,2431,3112,3000,2438,2500,2554,0
25059,130000,1,3,2,49,0,0,0,0,0,-1,20678,18956,16172,16898,11236,6944,1610,1808,7014,27,7011,4408,0
2665,50000,2,2,2,36,0,0,0,0,0,2,94228,47635,42361,19574,20295,19439,2000,1500,1000,1800,0,1000,1
8512,50000,2,2,2,29,-1,-1,-1,0,0,0,1303,801,11512,11512,8490,0,801,11512,0,0,0,950,0
5149,110000,1,3,2,33,1,2,0,0,0,-2,7128,1852,2625,2625,0,0,0,1000,0,0,0,0,1
7791,140000,2,1,1,32,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
11312,260000,2,2,3,38,-1,-1,-1,-1,-1,0,8000,8000,8000,8000,24406,18043,8000,8000,8000,24406,2000,389,0
19044,80000,2,2,2,23,0,0,-2,-2,-2,-2,68850,0,0,0,0,0,0,0,0,0,0,0,0
10785,80000,2,2,1,33,2,2,2,2,2,2,53843,55933,56575,57303,58593,59738,3500,2100,2200,2300,2200,2100,0
22247,90000,2,2,2,25,0,-1,-1,-1,-1,-1,27658,11865,4602,28426,8978,5104,6708,8853,28990,9028,5119,428,0
3269,80000,2,2,1,34,0,0,0,0,-1,0,78688,80539,76681,34197,27398,28646,4000,2333,3032,28298,2000,2000,0
15948,30000,2,2,1,30,3,2,2,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,1
14978,200000,1,1,1,29,-1,-1,-1,-1,-1,-1,9585,1686,820,1889,6617,3986,1735,824,1889,6617,3986,2460,0
14475,110000,2,2,2,39,0,0,0,0,0,0,210804,107572,100475,48409,47693,49018,5426,4244,1837,1713,2100,2020,0
28695,100000,2,3,2,33,0,0,0,0,0,0,74847,70663,63794,60651,54664,51776,3000,3000,2700,2000,2000,2000,0
14055,30000,2,2,1,51,0,0,0,0,0,0,10874,11896,12906,13162,13438,13705,1205,1215,471,488,491,508,0
26546,200000,2,2,1,50,-2,-2,-2,-2,-2,-2,411,453,348,359,672,1620,453,348,359,672,1620,384,0
14981,30000,1,2,1,23,2,2,2,2,2,2,28224,29276,28635,30127,30525,29793,1800,150,2250,1000,0,700,1
17637,360000,2,2,1,33,0,0,0,-2,-2,-2,11596,11775,0,0,0,0,1058,0,0,0,0,0,0
3932,120000,2,1,2,34,0,0,0,2,2,2,105356,107588,115372,112027,119702,121650,3931,9600,0,9500,4100,0,1
8388,30000,1,2,2,28,0,0,0,0,0,-2,26054,25144,25775,18585,0,0,2000,2000,2000,0,0,0,0
8029,110000,2,1,2,34,0,0,0,0,0,0,110712,110988,98270,79402,80804,81024,4112,3648,2800,3100,3133,2800,0
9483,280000,2,1,1,47,0,0,0,0,-1,0,257561,270827,212405,194345,161084,174622,20000,15000,0,161084,15000,20000,0
22573,180000,2,2,1,48,-1,-1,-1,-1,-2,-2,4498,-2,760,0,0,245,0,762,0,0,245,884,0
