limit,gender,education,marriage,age,behind1,behind2,behind3,behind4,behind5,behind6,billed1,billed2,billed3,billed4,billed5,billed6,paid1,paid2,paid3,paid4,paid5,paid6,default
1071.52,1,2,2,25,0,0,0,0,0,0,316.6,359.39,413.64,449.33,489.9,529.62,53.58,71.43,53.58,53.58,53.58,71.43,0
5357.62,2,1,2,26,0,0,0,0,0,0,4883.86,4487.94,4167.66,3628.22,2776.71,2759.67,160.23,151.26,112.9,94.54,95.33,95.33,0
2500.22,2,3,1,32,0,0,0,0,0,0,2504.58,2467.36,2447.72,2491.4,2504.19,2507.8,86.83,111.15,107.15,87.08,89.29,91.22,0
4643.27,1,3,2,49,0,0,0,0,0,0,738.57,677.06,577.62,603.55,401.32,248.02,57.51,64.58,250.52,0.96,250.42,157.44,0
1785.87,2,2,2,36,0,0,0,0,0,2,3365.59,1701.4,1513.03,699.13,724.89,694.31,71.43,53.58,35.72,64.29,0.0,35.72,1
1785.87,2,2,2,29,0,0,0,0,0,0,46.54,28.61,411.18,411.18,303.24,0.0,28.61,411.18,0.0,0.0,0.0,33.93,0
3928.92,1,3,2,33,1,2,0,0,0,0,254.59,66.15,93.76,93.76,0.0,0.0,0.0,35.72,0.0,0.0,0.0,0.0,1
5000.45,2,1,1,32,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9286.54,2,2,3,38,0,0,0,0,0,0,285.74,285.74,285.74,285.74,871.72,644.45,285.74,285.74,285.74,871.72,71.43,13.89,0
2857.4,2,2,2,23,0,0,0,0,0,0,2459.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2857.4,2,2,1,33,2,2,2,2,2,2,1923.14,1997.79,2020.72,2046.72,2092.79,2133.69,125.01,75.01,78.58,82.15,78.58,75.01,0
3214.57,2,2,2,25,0,0,0,0,0,0,987.87,423.79,164.37,1015.3,320.67,182.3,239.59,316.21,1035.45,322.46,182.84,15.29,0
2857.4,2,2,1,34,0,0,0,0,0,0,2810.54,2876.65,2738.85,1221.43,978.59,1023.16,142.87,83.33,108.3,1010.73,71.43,71.43,0
1071.52,2,2,1,30,3,2,2,7,7,7,85.72,85.72,85.72,85.72,85.72,85.72,0.0,0.0,0.0,0.0,0.0,0.0,1
7143.49,1,1,1,29,0,0,0,0,0,0,342.35,60.22,29.29,67.47,236.34,142.37,61.97,29.43,67.47,236.34,142.37,87.86,0
3928.92,2,2,2,39,0,0,0,0,0,0,7529.39,3842.2,3588.71,1729.05,1703.47,1750.8,193.8,151.58,65.61,61.18,75.01,72.15,0
3571.75,2,3,2,33,0,0,0,0,0,0,2673.35,2523.9,2278.56,2166.3,1952.46,1849.31,107.15,107.15,96.44,71.43,71.43,71.43,0
1071.52,2,2,1,51,0,0,0,0,0,0,388.39,424.9,460.97,470.11,479.97,489.51,43.04,43.4,16.82,17.43,17.54,18.14,0
7143.49,2,2,1,50,0,0,0,0,0,0,14.68,16.18,12.43,12.82,24.0,57.86,16.18,12.43,12.82,24.0,57.86,13.72,0
1071.52,1,2,1,23,2,2,2,2,2,2,1008.09,1045.66,1022.77,1076.06,1090.28,1064.13,64.29,5.36,80.36,35.72,0.0,25.0,1
12858.29,2,2,1,33,0,0,0,0,0,0,414.18,420.57,0.0,0.0,0.0,0.0,37.79,0.0,0.0,0.0,0.0,0.0,0
4286.1,2,1,2,34,0,0,0,2,2,2,3763.05,3842.77,4120.8,4001.32,4275.45,4345.03,140.41,342.89,0.0,339.32,146.44,0.0,1
1071.52,1,2,2,28,0,0,0,0,0,0,930.58,898.08,920.62,663.81,0.0,0.0,71.43,71.43,71.43,0.0,0.0,0.0,0
3928.92,2,1,2,34,0,0,0,0,0,0,3954.35,3964.21,3509.96,2836.04,2886.11,2893.97,146.87,130.3,100.01,110.72,111.9,100.01,0
10000.89,2,1,1,47,0,0,0,0,0,0,9199.43,9673.26,7586.57,6941.51,5753.51,6237.06,714.35,535.76,0.0,5753.51,535.76,714.35,0
6429.15,2,2,1,48,0,0,0,0,0,0,160.66,-0.07,27.15,0.0,0.0,8.75,0.0,27.22,0.0,0.0,8.75,31.57,0
7500.67,1,4,2,45,0,0,0,0,0,0,91.54,209.09,36.86,28.15,124.98,120.44,209.09,36.86,28.15,127.33,120.44,549.37,0
714.35,1,3,1,47,2,2,2,2,2,0,511.76,614.2,622.13,628.91,613.88,626.06,111.22,28.57,27.5,0.0,27.72,19.61,1
10715.24,1,1,1,58,0,0,0,0,0,0,486.47,206.41,-68.61,-68.61,68.29,68.61,207.98,0.0,0.0,136.91,0.32,0.0,0
7143.49,2,2,1,36,0,0,0,0,0,0,38.22,145.66,39.25,39.25,39.25,39.25,146.69,39.25,39.25,39.25,39.25,39.25,0
19644.61,1,2,2,33,0,0,0,0,0,0,-18.18,-68.76,161.87,466.79,181.12,295.6,0.54,357.67,714.35,357.17,357.17,269.6,0
