limit,gender,education,marriage,age,behind1,behind2,behind3,behind4,behind5,behind6,billed1,billed2,billed3,billed4,billed5,billed6,paid1,paid2,paid3,paid4,paid5,paid6,default,age_bin,avail6,avail5,avail4,avail3,avail2,avail1,avg_av,pperb1,pperb2,pperb3,pperb4,pperb5
1071.49,1,2,2,25,0,0,0,0,0,0,316.59,359.38,413.63,449.31,489.88,529.6,53.57,71.43,53.57,53.57,53.57,71.43,0,1,0.5057350045264072,0.5428048791869267,0.5806680416989426,0.6139674658652904,0.6645978963872738,0.7045329401114336,0.6020510379627124,0.149062273916189,0.17269056886589465,0.119227259575794,0.10935331101494243,0.10115181268882174
5357.43,2,1,2,26,0,0,0,0,0,0,4883.69,4487.78,4167.51,3628.09,2776.61,2759.58,160.22,151.26,112.9,94.54,95.33,95.33,0,1,0.4849060090379156,0.48172724608627643,0.32279283163755756,0.2221064950918631,0.16232596599488944,0.08842672699409991,0.293714212473767,0.03570139356207301,0.03629505388109446,0.03111830191643537,0.03404871407939898,0.0345451119373238
2500.13,2,3,1,32,0,0,0,0,0,0,2504.49,2467.28,2447.63,2491.31,2504.1,2507.71,86.83,111.15,107.15,87.08,89.29,91.22,0,2,-0.0030318423441980723,-0.0015879174282936487,0.0035278165535392813,0.020998908056781045,0.013139316755528676,-0.0017439093167153997,0.00521706204610698,0.03519260075873026,0.045411275397016705,0.04300950102556487,0.03477496905075676,0.03560619050847187
4643.11,1,3,2,49,0,0,0,0,0,0,738.54,677.04,577.6,603.53,401.31,248.01,57.5,64.57,250.51,0.96,250.41,157.44,0,3,0.946585370581356,0.913568707181178,0.8700160022054184,0.8756006211354028,0.8541839413668856,0.8409385088873621,0.8834821918929339,0.08492851234786719,0.11179016620498614,0.41507464417676004,0.0023921656574717796,1.0096770291520503
1785.81,2,2,2,36,0,0,0,0,0,2,3365.47,1701.34,1512.97,699.11,724.86,694.29,71.43,53.57,35.72,64.29,0.0,35.72,1,2,0.6112184386916861,0.5941001562316259,0.6085193833610517,0.15278221087349714,0.04730066468437293,-0.8845621874667517,0.1882264443959137,0.04198455335206367,0.03540717925669379,0.05109353320650541,0.08869298899097758,0.0
1785.81,2,2,2,29,0,0,0,0,0,0,46.54,28.61,411.16,411.16,303.23,0.0,28.61,411.16,0.0,0.0,0.0,33.93,0,1,1.0,0.8302003012638522,0.7697627407170975,0.7697627407170975,0.9839792587117331,0.9739389968697678,0.8879406730465914,1.0,1.0,0.0,0.0,0.0
3928.78,1,3,2,33,1,2,0,0,0,0,254.59,66.15,93.76,93.76,0.0,0.0,0.0,35.72,0.0,0.0,0.0,0.0,1,2,1.0,1.0,0.9761350851918407,0.9761350851918407,0.98316271208874,0.9351987130865052,0.978438599259821,0.0,0.38097269624573377,0.0,0.0,0.0
5000.27,2,1,1,32,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9286.21,2,2,3,38,0,0,0,0,0,0,285.73,285.73,285.73,285.73,871.69,644.43,285.73,285.73,285.73,871.69,71.43,13.89,0,2,0.9306035508565927,0.9061307034839832,0.9692307195292805,0.9692307195292805,0.9692307195292805,0.9692307195292805,0.9522761887429497,1.0,1.0,1.0,1.0,0.11084213956519717
2857.3,2,2,2,23,0,0,0,0,0,0,2459.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,1.0,0.13937633430161347,0.8565627223836022,0.0,0.0,0.0,0.0,0.0
