,limit,age,behind1,behind2,behind3,billed1,billed2,billed3,billed4,billed5,billed6,paid1,paid2,paid3,paid4,paid5,paid6,default,avail6,avail5,avail4,avail3,avail2,avail1,avg_av
0,1070.95,25,0,0,0,316.43,359.2,413.42,449.09,489.64,529.34,53.55,71.4,53.55,53.55,53.55,71.4,0,0.5057285587562445,0.5427984499743219,0.5806620290396378,0.6139689061113963,0.6645968532611233,0.7045333582333442,0.6020480258960114
1,5354.75,26,0,0,0,4881.25,4485.53,4165.43,3626.27,2775.23,2758.2,160.14,151.18,112.84,94.49,95.28,95.28,0,0.4849059246463421,0.4817255707549372,0.3227937812222793,0.2221056071712031,0.16232690601802144,0.08842616368644661,0.2937139922498717
2,2498.88,32,0,0,0,2503.24,2466.04,2446.41,2490.07,2502.85,2506.45,86.78,111.09,107.1,87.03,89.25,91.17,0,-0.003029357152003981,-0.0015887117428607215,0.003525579459597878,0.020997406838263642,0.01314188756562946,-0.0017447816621845276,0.005217003884406956
3,4640.79,49,0,0,0,738.17,676.7,577.31,603.23,401.11,247.89,57.47,64.54,250.39,0.96,250.28,157.36,0,0.9465845254794979,0.9135685950021439,0.8700156654362727,0.8756009213948487,0.8541843091370219,0.84093871948526,0.8834821226558409
4,1784.92,36,0,0,0,3363.78,1700.49,1512.22,698.76,724.5,693.94,71.4,53.55,35.7,64.26,0.0,35.7,1,0.6112206709544405,0.5940994554377788,0.6085202698160141,0.1527799565246622,0.04730183985836904,-0.8845550500862784,0.1882278570841644
5,1784.92,29,0,0,0,46.51,28.59,410.96,410.96,303.08,0.0,28.59,410.96,0.0,0.0,0.0,33.91,0,1.0,0.8301996728144679,0.7697599892432154,0.7697599892432154,0.9839824754050602,0.9739428097617819,0.8879408227446235
6,3926.82,33,1,2,0,254.46,66.11,93.71,93.71,0.0,0.0,0.0,35.7,0.0,0.0,0.0,0.0,1,1.0,1.0,0.9761359064077294,0.9761359064077294,0.9831644944255148,0.9351994743838524,0.9784392969374709
7,4997.77,32,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,9281.57,38,0,0,0,285.59,285.59,285.59,285.59,871.25,644.11,285.59,285.59,285.59,871.25,71.4,13.89,0,0.9306033354270884,0.90613118254778,0.9692304211464224,0.9692304211464224,0.9692304211464224,0.9692304211464224,0.952276033760093
9,2855.87,23,0,0,0,2457.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,0.13937609204900786,0.856562682008168
10,2855.87,33,2,2,2,1922.11,1996.72,2019.63,2045.62,2091.67,2132.55,124.94,74.97,78.54,82.11,78.54,74.97,0,0.2532748339385195,0.26758921099349753,0.2837138945400176,0.2928144488369568,0.3008365226708498,0.3269616614201627,0.28753176206666736
11,3212.85,25,0,0,0,987.34,423.56,164.28,1014.76,320.5,182.2,239.46,316.04,1034.9,322.28,182.74,15.28,0,0.9432902251894736,0.900244331356895,0.6841558118181678,0.9488678276296744,0.8681668923230154,0.692690290552002,0.8395692298115379
12,2855.87,34,0,0,0,2809.03,2875.11,2737.39,1220.78,978.06,1022.61,142.79,83.28,108.24,1010.19,71.4,71.4,0,0.6419269784689079,0.6575264280236846,0.5725365650397252,0.041486482227832515,-0.006737001334094422,0.01640130678217135,0.3205234598680378
13,1070.95,30,3,2,2,85.68,85.68,85.68,85.68,85.68,85.68,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9199962649983658,0.9199962649983658,0.9199962649983658,0.9199962649983658,0.9199962649983658,0.9199962649983658,0.9199962649983658
14,7139.67,29,0,0,0,342.17,60.19,29.27,67.43,236.22,142.29,61.94,29.42,67.43,236.22,142.29,87.82,0,0.9800705074604288,0.9669144372218884,0.9905555859024296,0.9959003707454266,0.991569638372642,0.9520748157828024,0.9795142259142696
15,3926.82,39,0,0,0,7525.36,3840.14,3586.79,1728.12,1702.56,1749.86,193.7,151.5,65.58,61.15,74.97,72.11,0,0.5543824264926837,0.5664277965376564,0.5599187128516204,0.08659169506114367,0.022073840919624603,-0.9164005480261379,0.14549898730609848
16,3569.84,33,0,0,0,2671.91,2522.55,2277.34,2165.14,1951.41,1848.32,107.1,107.1,96.39,71.4,71.4,71.4,0,0.4822401003966565,0.4533620554422607,0.3934910248078346,0.362061044752706,0.2933716917284808,0.25153228155883744,0.372676366447796
17,1070.95,51,0,0,0,388.18,424.67,460.72,469.86,479.71,489.25,43.02,43.37,16.81,17.42,17.53,18.13,0,0.5431626126336431,0.5520705915308838,0.5612680330547645,0.5698025117885989,0.6034642140155936,0.6375367664223353,0.5778841215743031
18,7139.67,50,0,0,0,14.67,16.17,12.42,12.82,23.99,57.83,16.17,12.42,12.82,23.99,57.83,13.71,0,0.991900185862932,0.9966399007237028,0.9982043988027458,0.9982604238010999,0.9977351894415288,0.9979452831853572,0.9967808969695612
